"ï»¿""Plot Title: OM_WL3""",,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20389410, SEN S/N: 20389410)","Temp, Â°C (LGR S/N: 20389410, SEN S/N: 20389410)",Coupler Detached (LGR S/N: 20389410),Coupler Attached (LGR S/N: 20389410),Host Connected (LGR S/N: 20389410),Stopped (LGR S/N: 20389410),End Of File (LGR S/N: 20389410)
240,9/1/18 9:55,96.704,24.641,,,,,
241,9/1/18 10:00,96.707,24.738,,,,,
242,9/1/18 10:05,96.689,24.738,,,,,
243,9/1/18 10:10,96.707,24.738,,,,,
244,9/1/18 10:15,96.689,24.738,,,,,
245,9/1/18 10:20,96.689,24.738,,,,,
246,9/1/18 10:25,96.672,24.738,,,,,
247,9/1/18 10:30,96.672,24.738,,,,,
248,9/1/18 10:35,96.672,24.738,,,,,
249,9/1/18 10:40,96.657,24.835,,,,,
250,9/1/18 10:45,96.657,24.835,,,,,
251,9/1/18 10:50,96.657,24.835,,,,,
252,9/1/18 10:55,96.657,24.835,,,,,
253,9/1/18 11:00,96.659,24.931,,,,,
254,9/1/18 11:05,96.659,24.931,,,,,
255,9/1/18 11:10,96.659,24.931,,,,,
256,9/1/18 11:15,96.645,25.028,,,,,
257,9/1/18 11:20,96.627,25.028,,,,,
258,9/1/18 11:25,96.645,25.028,,,,,
259,9/1/18 11:30,96.647,25.125,,,,,
260,9/1/18 11:35,96.63,25.125,,,,,
261,9/1/18 11:40,96.63,25.125,,,,,
262,9/1/18 11:45,96.615,25.222,,,,,
263,9/1/18 11:50,96.615,25.222,,,,,
264,9/1/18 11:55,96.615,25.222,,,,,
265,9/1/18 12:00,96.579,25.222,,,,,
266,9/1/18 12:05,96.582,25.319,,,,,
267,9/1/18 12:10,96.564,25.319,,,,,
268,9/1/18 12:15,96.567,25.416,,,,,
269,9/1/18 12:20,96.549,25.416,,,,,
270,9/1/18 12:25,96.549,25.416,,,,,
271,9/1/18 12:30,96.552,25.513,,,,,
272,9/1/18 12:35,96.552,25.513,,,,,
273,9/1/18 12:40,96.552,25.513,,,,,
274,9/1/18 12:45,96.537,25.61,,,,,
275,9/1/18 12:50,96.537,25.61,,,,,
276,9/1/18 12:55,96.519,25.61,,,,,
277,9/1/18 13:00,96.504,25.708,,,,,
278,9/1/18 13:05,96.504,25.708,,,,,
279,9/1/18 13:10,96.507,25.805,,,,,
280,9/1/18 13:15,96.489,25.805,,,,,
281,9/1/18 13:20,96.492,25.902,,,,,
282,9/1/18 13:25,96.475,25.902,,,,,
283,9/1/18 13:30,96.477,26,,,,,
284,9/1/18 13:35,96.477,26,,,,,
285,9/1/18 13:40,96.442,26,,,,,
286,9/1/18 13:45,96.445,26.097,,,,,
287,9/1/18 13:50,96.445,26.097,,,,,
288,9/1/18 13:55,96.445,26.097,,,,,
289,9/1/18 14:00,96.427,26.097,,,,,
290,9/1/18 14:05,96.412,26.195,,,,,
291,9/1/18 14:10,96.415,26.292,,,,,
292,9/1/18 14:15,96.4,26.39,,,,,
293,9/1/18 14:20,96.382,26.39,,,,,
294,9/1/18 14:25,96.385,26.488,,,,,
295,9/1/18 14:30,96.367,26.488,,,,,
296,9/1/18 14:35,96.367,26.488,,,,,
297,9/1/18 14:40,96.35,26.488,,,,,
298,9/1/18 14:45,96.35,26.488,,,,,
299,9/1/18 14:50,96.352,26.585,,,,,
300,9/1/18 14:55,96.317,26.585,,,,,
301,9/1/18 15:00,96.32,26.683,,,,,
302,9/1/18 15:05,96.32,26.683,,,,,
303,9/1/18 15:10,96.32,26.683,,,,,
304,9/1/18 15:15,96.308,26.879,,,,,
305,9/1/18 15:20,96.31,26.977,,,,,
306,9/1/18 15:25,96.293,26.977,,,,,
307,9/1/18 15:30,96.257,26.977,,,,,
308,9/1/18 15:35,96.272,26.879,,,,,
309,9/1/18 15:40,96.254,26.879,,,,,
310,9/1/18 15:45,96.254,26.879,,,,,
311,9/1/18 15:50,96.237,26.879,,,,,
312,9/1/18 15:55,96.239,26.977,,,,,
313,9/1/18 16:00,96.239,26.977,,,,,
314,9/1/18 16:05,96.219,26.879,,,,,
315,9/1/18 16:10,96.237,26.879,,,,,
316,9/1/18 16:15,96.237,26.879,,,,,
317,9/1/18 16:20,96.237,26.879,,,,,
318,9/1/18 16:25,96.216,26.781,,,,,
319,9/1/18 16:30,96.216,26.781,,,,,
320,9/1/18 16:35,96.216,26.781,,,,,
321,9/1/18 16:40,96.213,26.683,,,,,
322,9/1/18 16:45,96.213,26.683,,,,,
323,9/1/18 16:50,96.213,26.683,,,,,
324,9/1/18 16:55,96.193,26.585,,,,,
325,9/1/18 17:00,96.193,26.585,,,,,
326,9/1/18 17:05,96.193,26.585,,,,,
327,9/1/18 17:10,96.193,26.585,,,,,
328,9/1/18 17:15,96.193,26.585,,,,,
329,9/1/18 17:20,96.19,26.488,,,,,
330,9/1/18 17:25,96.19,26.488,,,,,
331,9/1/18 17:30,96.172,26.488,,,,,
332,9/1/18 17:35,96.19,26.488,,,,,
333,9/1/18 17:40,96.19,26.488,,,,,
334,9/1/18 17:45,96.19,26.488,,,,,
335,9/1/18 17:50,96.19,26.488,,,,,
336,9/1/18 17:55,96.19,26.488,,,,,
337,9/1/18 18:00,96.19,26.488,,,,,
338,9/1/18 18:05,96.211,26.585,,,,,
339,9/1/18 18:10,96.19,26.488,,,,,
340,9/1/18 18:15,96.19,26.488,,,,,
341,9/1/18 18:20,96.208,26.488,,,,,
342,9/1/18 18:25,96.19,26.488,,,,,
343,9/1/18 18:30,96.19,26.488,,,,,
344,9/1/18 18:35,96.205,26.39,,,,,
345,9/1/18 18:40,96.205,26.39,,,,,
346,9/1/18 18:45,96.202,26.292,,,,,
347,9/1/18 18:50,96.202,26.292,,,,,
348,9/1/18 18:55,96.202,26.292,,,,,
349,9/1/18 19:00,96.199,26.195,,,,,
350,9/1/18 19:05,96.217,26.195,,,,,
351,9/1/18 19:10,96.214,26.097,,,,,
352,9/1/18 19:15,96.232,26.097,,,,,
353,9/1/18 19:20,96.232,26.097,,,,,
354,9/1/18 19:25,96.229,26,,,,,
355,9/1/18 19:30,96.212,26,,,,,
356,9/1/18 19:35,96.212,26,,,,,
357,9/1/18 19:40,96.229,26,,,,,
358,9/1/18 19:45,96.227,25.902,,,,,
359,9/1/18 19:50,96.244,25.902,,,,,
360,9/1/18 19:55,96.227,25.902,,,,,
361,9/1/18 20:00,96.241,25.805,,,,,
362,9/1/18 20:05,96.241,25.805,,,,,
363,9/1/18 20:10,96.259,25.805,,,,,
364,9/1/18 20:15,96.256,25.708,,,,,
365,9/1/18 20:20,96.274,25.708,,,,,
366,9/1/18 20:25,96.274,25.708,,,,,
